rep,group,setting,accuracy
14,Shrinkage,"$(0.9,0.5)$",0.624
15,Iterations,$T=1$,0.622
15,Iterations,$T=3$,0.628
15,Iterations,$T=8$,0.628
15,Projection,"$(8,8)$",0.636
15,Projection,"$(12,12)$",0.628
15,Projection,"$(16,16)$",0.612
15,Shrinkage,"$(0.7,0.7)$",0.628
15,Shrinkage,"$(0.5,0.9)$",0.642
15,Shrinkage,"$(0.9,0.5)$",0.59
16,Iterations,$T=1$,0.676
16,Iterations,$T=3$,0.672
16,Iterations,$T=8$,0.672
16,Projection,"$(8,8)$",0.656
16,Projection,"$(12,12)$",0.672
16,Projection,"$(16,16)$",0.67
16,Shrinkage,"$(0.7,0.7)$",0.672
16,Shrinkage,"$(0.5,0.9)$",0.674
16,Shrinkage,"$(0.9,0.5)$",0.632
17,Iterations,$T=1$,0.626
17,Iterations,$T=3$,0.628
17,Iterations,$T=8$,0.628
17,Projection,"$(8,8)$",0.64
17,Projection,"$(12,12)$",0.628
17,Projection,"$(16,16)$",0.644
17,Shrinkage,"$(0.7,0.7)$",0.628
17,Shrinkage,"$(0.5,0.9)$",0.65
17,Shrinkage,"$(0.9,0.5)$",0.58
18,Iterations,$T=1$,0.66
18,Iterations,$T=3$,0.664
18,Iterations,$T=8$,0.664
18,Projection,"$(8,8)$",0.674
18,Projection,"$(12,12)$",0.664
18,Projection,"$(16,16)$",0.676
18,Shrinkage,"$(0.7,0.7)$",0.664
18,Shrinkage,"$(0.5,0.9)$",0.69
18,Shrinkage,"$(0.9,0.5)$",0.598
19,Iterations,$T=1$,0.602
19,Iterations,$T=3$,0.614
19,Iterations,$T=8$,0.614
19,Projection,"$(8,8)$",0.62
19,Projection,"$(12,12)$",0.614
19,Projection,"$(16,16)$",0.604
19,Shrinkage,"$(0.7,0.7)$",0.614
19,Shrinkage,"$(0.5,0.9)$",0.648
19,Shrinkage,"$(0.9,0.5)$",0.56
20,Iterations,$T=1$,0.638
20,Iterations,$T=3$,0.642
20,Iterations,$T=8$,0.642
20,Projection,"$(8,8)$",0.66
20,Projection,"$(12,12)$",0.642
20,Projection,"$(16,16)$",0.648
20,Shrinkage,"$(0.7,0.7)$",0.642
20,Shrinkage,"$(0.5,0.9)$",0.646
20,Shrinkage,"$(0.9,0.5)$",0.57
21,Iterations,$T=1$,0.614
21,Iterations,$T=3$,0.616
21,Iterations,$T=8$,0.616
21,Projection,"$(8,8)$",0.628
21,Projection,"$(12,12)$",0.616
21,Projection,"$(16,16)$",0.6
21,Shrinkage,"$(0.7,0.7)$",0.616
21,Shrinkage,"$(0.5,0.9)$",0.612
21,Shrinkage,"$(0.9,0.5)$",0.57
22,Iterations,$T=1$,0.684
22,Iterations,$T=3$,0.684
22,Iterations,$T=8$,0.684
22,Projection,"$(8,8)$",0.684
22,Projection,"$(12,12)$",0.684
22,Projection,"$(16,16)$",0.67
22,Shrinkage,"$(0.7,0.7)$",0.684
22,Shrinkage,"$(0.5,0.9)$",0.71
22,Shrinkage,"$(0.9,0.5)$",0.636
23,Iterations,$T=1$,0.584
23,Iterations,$T=3$,0.584
23,Iterations,$T=8$,0.584
23,Projection,"$(8,8)$",0.562
23,Projection,"$(12,12)$",0.584
23,Projection,"$(16,16)$",0.568
23,Shrinkage,"$(0.7,0.7)$",0.584
23,Shrinkage,"$(0.5,0.9)$",0.612
23,Shrinkage,"$(0.9,0.5)$",0.532
24,Iterations,$T=1$,0.658
24,Iterations,$T=3$,0.656
24,Iterations,$T=8$,0.656
24,Projection,"$(8,8)$",0.664
24,Projection,"$(12,12)$",0.656
24,Projection,"$(16,16)$",0.662
24,Shrinkage,"$(0.7,0.7)$",0.656
24,Shrinkage,"$(0.5,0.9)$",0.672
24,Shrinkage,"$(0.9,0.5)$",0.616
25,Iterations,$T=1$,0.638
25,Iterations,$T=3$,0.636
25,Iterations,$T=8$,0.636
25,Projection,"$(8,8)$",0.63
25,Projection,"$(12,12)$",0.636
25,Projection,"$(16,16)$",0.624
25,Shrinkage,"$(0.7,0.7)$",0.636
25,Shrinkage,"$(0.5,0.9)$",0.662
25,Shrinkage,"$(0.9,0.5)$",0.568
26,Iterations,$T=1$,0.624
26,Iterations,$T=3$,0.616
26,Iterations,$T=8$,0.616
26,Projection,"$(8,8)$",0.596
26,Projection,"$(12,12)$",0.616
26,Projection,"$(16,16)$",0.612
26,Shrinkage,"$(0.7,0.7)$",0.616
26,Shrinkage,"$(0.5,0.9)$",0.626
26,Shrinkage,"$(0.9,0.5)$",0.566
27,Iterations,$T=1$,0.66
27,Iterations,$T=3$,0.662
27,Iterations,$T=8$,0.662
27,Projection,"$(8,8)$",0.664
27,Projection,"$(12,12)$",0.662
27,Projection,"$(16,16)$",0.662
27,Shrinkage,"$(0.7,0.7)$",0.662
27,Shrinkage,"$(0.5,0.9)$",0.682
27,Shrinkage,"$(0.9,0.5)$",0.584
28,Iterations,$T=1$,0.606
28,Iterations,$T=3$,0.612
28,Iterations,$T=8$,0.612
28,Projection,"$(8,8)$",0.59
28,Projection,"$(12,12)$",0.612
28,Projection,"$(16,16)$",0.616
28,Shrinkage,"$(0.7,0.7)$",0.612
28,Shrinkage,"$(0.5,0.9)$",0.658
28,Shrinkage,"$(0.9,0.5)$",0.56
29,Iterations,$T=1$,0.642
29,Iterations,$T=3$,0.65
29,Iterations,$T=8$,0.65
29,Projection,"$(8,8)$",0.656
29,Projection,"$(12,12)$",0.65
29,Projection,"$(16,16)$",0.66
29,Shrinkage,"$(0.7,0.7)$",0.65
29,Shrinkage,"$(0.5,0.9)$",0.686
29,Shrinkage,"$(0.9,0.5)$",0.578
30,Iterations,$T=1$,0.586
30,Iterations,$T=3$,0.592
30,Iterations,$T=8$,0.592
30,Projection,"$(8,8)$",0.61
30,Projection,"$(12,12)$",0.592
30,Projection,"$(16,16)$",0.59
30,Shrinkage,"$(0.7,0.7)$",0.592
30,Shrinkage,"$(0.5,0.9)$",0.62
30,Shrinkage,"$(0.9,0.5)$",0.56
31,Iterations,$T=1$,0.636
31,Iterations,$T=3$,0.638
31,Iterations,$T=8$,0.638
31,Projection,"$(8,8)$",0.644
31,Projection,"$(12,12)$",0.638
31,Projection,"$(16,16)$",0.63
31,Shrinkage,"$(0.7,0.7)$",0.638
31,Shrinkage,"$(0.5,0.9)$",0.662
31,Shrinkage,"$(0.9,0.5)$",0.58
32,Iterations,$T=1$,0.63
32,Iterations,$T=3$,0.632
32,Iterations,$T=8$,0.632
32,Projection,"$(8,8)$",0.618
32,Projection,"$(12,12)$",0.632
32,Projection,"$(16,16)$",0.622
32,Shrinkage,"$(0.7,0.7)$",0.632
32,Shrinkage,"$(0.5,0.9)$",0.644
32,Shrinkage,"$(0.9,0.5)$",0.568
33,Iterations,$T=1$,0.614
33,Iterations,$T=3$,0.614
33,Iterations,$T=8$,0.614
33,Projection,"$(8,8)$",0.624
33,Projection,"$(12,12)$",0.614
33,Projection,"$(16,16)$",0.612
33,Shrinkage,"$(0.7,0.7)$",0.614
33,Shrinkage,"$(0.5,0.9)$",0.638
33,Shrinkage,"$(0.9,0.5)$",0.538
34,Iterations,$T=1$,0.676
34,Iterations,$T=3$,0.678
34,Iterations,$T=8$,0.678
34,Projection,"$(8,8)$",0.68
34,Projection,"$(12,12)$",0.678
34,Projection,"$(16,16)$",0.672
34,Shrinkage,"$(0.7,0.7)$",0.678
34,Shrinkage,"$(0.5,0.9)$",0.702
34,Shrinkage,"$(0.9,0.5)$",0.604
35,Iterations,$T=1$,0.624
35,Iterations,$T=3$,0.626
35,Iterations,$T=8$,0.626
35,Projection,"$(8,8)$",0.65
35,Projection,"$(12,12)$",0.626
35,Projection,"$(16,16)$",0.63
35,Shrinkage,"$(0.7,0.7)$",0.626
35,Shrinkage,"$(0.5,0.9)$",0.646
35,Shrinkage,"$(0.9,0.5)$",0.58
36,Iterations,$T=1$,0.656
36,Iterations,$T=3$,0.658
