dataset,shots,rep,method,accuracy
USPS,3,3,Shrinkage LDA,0.668
USPS,3,4,L-2DLDA+,0.626
USPS,3,4,DATER-reg,0.63
USPS,3,4,MPCA,0.628
USPS,3,4,2DLDA,0.628
USPS,3,4,Nearest centroid,0.628
USPS,3,4,Ridge,0.568
USPS,3,4,Shrinkage LDA,0.65
USPS,3,5,L-2DLDA+,0.66
USPS,3,5,DATER-reg,0.638
USPS,3,5,MPCA,0.656
USPS,3,5,2DLDA,0.656
USPS,3,5,Nearest centroid,0.656
USPS,3,5,Ridge,0.558
USPS,3,5,Shrinkage LDA,0.64
USPS,3,6,L-2DLDA+,0.78
USPS,3,6,DATER-reg,0.766
USPS,3,6,MPCA,0.762
USPS,3,6,2DLDA,0.762
USPS,3,6,Nearest centroid,0.762
USPS,3,6,Ridge,0.626
USPS,3,6,Shrinkage LDA,0.69
USPS,3,7,L-2DLDA+,0.676
USPS,3,7,DATER-reg,0.656
USPS,3,7,MPCA,0.666
USPS,3,7,2DLDA,0.666
USPS,3,7,Nearest centroid,0.666
USPS,3,7,Ridge,0.596
USPS,3,7,Shrinkage LDA,0.654
USPS,3,8,L-2DLDA+,0.746
USPS,3,8,DATER-reg,0.762
USPS,3,8,MPCA,0.75
USPS,3,8,2DLDA,0.75
USPS,3,8,Nearest centroid,0.75
USPS,3,8,Ridge,0.626
USPS,3,8,Shrinkage LDA,0.694
USPS,3,9,L-2DLDA+,0.742
USPS,3,9,DATER-reg,0.738
USPS,3,9,MPCA,0.746
USPS,3,9,2DLDA,0.746
USPS,3,9,Nearest centroid,0.746
USPS,3,9,Ridge,0.638
USPS,3,9,Shrinkage LDA,0.686
USPS,3,10,L-2DLDA+,0.76
USPS,3,10,DATER-reg,0.776
USPS,3,10,MPCA,0.77
USPS,3,10,2DLDA,0.77
USPS,3,10,Nearest centroid,0.77
USPS,3,10,Ridge,0.58
USPS,3,10,Shrinkage LDA,0.674
USPS,3,11,L-2DLDA+,0.726
USPS,3,11,DATER-reg,0.708
USPS,3,11,MPCA,0.722
USPS,3,11,2DLDA,0.722
USPS,3,11,Nearest centroid,0.722
USPS,3,11,Ridge,0.672
USPS,3,11,Shrinkage LDA,0.7
USPS,3,12,L-2DLDA+,0.766
USPS,3,12,DATER-reg,0.756
USPS,3,12,MPCA,0.772
USPS,3,12,2DLDA,0.772
USPS,3,12,Nearest centroid,0.772
USPS,3,12,Ridge,0.622
USPS,3,12,Shrinkage LDA,0.688
USPS,3,13,L-2DLDA+,0.746
USPS,3,13,DATER-reg,0.742
USPS,3,13,MPCA,0.746
USPS,3,13,2DLDA,0.746
USPS,3,13,Nearest centroid,0.746
USPS,3,13,Ridge,0.688
USPS,3,13,Shrinkage LDA,0.74
USPS,3,14,L-2DLDA+,0.722
USPS,3,14,DATER-reg,0.708
USPS,3,14,MPCA,0.716
USPS,3,14,2DLDA,0.714
USPS,3,14,Nearest centroid,0.716
USPS,3,14,Ridge,0.602
USPS,3,14,Shrinkage LDA,0.656
USPS,3,15,L-2DLDA+,0.746
USPS,3,15,DATER-reg,0.74
USPS,3,15,MPCA,0.73
USPS,3,15,2DLDA,0.73
USPS,3,15,Nearest centroid,0.73
USPS,3,15,Ridge,0.674
USPS,3,15,Shrinkage LDA,0.724
USPS,3,16,L-2DLDA+,0.754
USPS,3,16,DATER-reg,0.714
USPS,3,16,MPCA,0.734
USPS,3,16,2DLDA,0.734
USPS,3,16,Nearest centroid,0.734
USPS,3,16,Ridge,0.606
USPS,3,16,Shrinkage LDA,0.626
USPS,3,17,L-2DLDA+,0.688
USPS,3,17,DATER-reg,0.688
USPS,3,17,MPCA,0.69
USPS,3,17,2DLDA,0.69
USPS,3,17,Nearest centroid,0.69
USPS,3,17,Ridge,0.632
USPS,3,17,Shrinkage LDA,0.716
USPS,3,18,L-2DLDA+,0.74
USPS,3,18,DATER-reg,0.72
USPS,3,18,MPCA,0.728
USPS,3,18,2DLDA,0.728
USPS,3,18,Nearest centroid,0.728
USPS,3,18,Ridge,0.62
USPS,3,18,Shrinkage LDA,0.652
USPS,3,19,L-2DLDA+,0.8
USPS,3,19,DATER-reg,0.792
USPS,3,19,MPCA,0.798
USPS,3,19,2DLDA,0.798
USPS,3,19,Nearest centroid,0.8
USPS,3,19,Ridge,0.62
USPS,3,19,Shrinkage LDA,0.776
USPS,3,20,L-2DLDA+,0.756
USPS,3,20,DATER-reg,0.748
USPS,3,20,MPCA,0.738
USPS,3,20,2DLDA,0.738
USPS,3,20,Nearest centroid,0.738
USPS,3,20,Ridge,0.7
USPS,3,20,Shrinkage LDA,0.724
USPS,3,21,L-2DLDA+,0.75
USPS,3,21,DATER-reg,0.75
USPS,3,21,MPCA,0.754
USPS,3,21,2DLDA,0.754
USPS,3,21,Nearest centroid,0.754
USPS,3,21,Ridge,0.676
USPS,3,21,Shrinkage LDA,0.73
USPS,3,22,L-2DLDA+,0.738
USPS,3,22,DATER-reg,0.738
USPS,3,22,MPCA,0.722
USPS,3,22,2DLDA,0.722
USPS,3,22,Nearest centroid,0.722
USPS,3,22,Ridge,0.694
USPS,3,22,Shrinkage LDA,0.74
USPS,3,23,L-2DLDA+,0.716
USPS,3,23,DATER-reg,0.698
USPS,3,23,MPCA,0.706
USPS,3,23,2DLDA,0.706
USPS,3,23,Nearest centroid,0.706
USPS,3,23,Ridge,0.612
USPS,3,23,Shrinkage LDA,0.694
USPS,3,24,L-2DLDA+,0.69
USPS,3,24,DATER-reg,0.66
USPS,3,24,MPCA,0.664
USPS,3,24,2DLDA,0.664
USPS,3,24,Nearest centroid,0.664
USPS,3,24,Ridge,0.568
USPS,3,24,Shrinkage LDA,0.662
USPS,3,25,L-2DLDA+,0.718
USPS,3,25,DATER-reg,0.712
USPS,3,25,MPCA,0.714
USPS,3,25,2DLDA,0.714
USPS,3,25,Nearest centroid,0.714
USPS,3,25,Ridge,0.562
USPS,3,25,Shrinkage LDA,0.644
USPS,3,26,L-2DLDA+,0.73
USPS,3,26,DATER-reg,0.696
USPS,3,26,MPCA,0.708
USPS,3,26,2DLDA,0.708
USPS,3,26,Nearest centroid,0.708
USPS,3,26,Ridge,0.654
USPS,3,26,Shrinkage LDA,0.694
USPS,3,27,L-2DLDA+,0.654
USPS,3,27,DATER-reg,0.66
USPS,3,27,MPCA,0.66
USPS,3,27,2DLDA,0.66
USPS,3,27,Nearest centroid,0.66
USPS,3,27,Ridge,0.584
USPS,3,27,Shrinkage LDA,0.628
USPS,3,28,L-2DLDA+,0.802
USPS,3,28,DATER-reg,0.788
USPS,3,28,MPCA,0.794
USPS,3,28,2DLDA,0.796
USPS,3,28,Nearest centroid,0.796
USPS,3,28,Ridge,0.672
USPS,3,28,Shrinkage LDA,0.732
USPS,3,29,L-2DLDA+,0.69
USPS,3,29,DATER-reg,0.67
USPS,3,29,MPCA,0.688
USPS,3,29,2DLDA,0.688
USPS,3,29,Nearest centroid,0.688
USPS,3,29,Ridge,0.584
USPS,3,29,Shrinkage LDA,0.636
USPS,3,30,L-2DLDA+,0.722
USPS,3,30,DATER-reg,0.698
USPS,3,30,MPCA,0.698
USPS,3,30,2DLDA,0.698
USPS,3,30,Nearest centroid,0.698
USPS,3,30,Ridge,0.612
USPS,3,30,Shrinkage LDA,0.66
USPS,3,31,L-2DLDA+,0.768
USPS,3,31,DATER-reg,0.75
USPS,3,31,MPCA,0.752
USPS,3,31,2DLDA,0.752
USPS,3,31,Nearest centroid,0.752
USPS,3,31,Ridge,0.68
USPS,3,31,Shrinkage LDA,0.714
USPS,3,32,L-2DLDA+,0.748
USPS,3,32,DATER-reg,0.72
USPS,3,32,MPCA,0.73
USPS,3,32,2DLDA,0.728
USPS,3,32,Nearest centroid,0.728
USPS,3,32,Ridge,0.62
USPS,3,32,Shrinkage LDA,0.716
USPS,3,33,L-2DLDA+,0.702
USPS,3,33,DATER-reg,0.702
USPS,3,33,MPCA,0.706
USPS,3,33,2DLDA,0.706
USPS,3,33,Nearest centroid,0.706
USPS,3,33,Ridge,0.654
USPS,3,33,Shrinkage LDA,0.688
USPS,3,34,L-2DLDA+,0.67
USPS,3,34,DATER-reg,0.682
USPS,3,34,MPCA,0.672
USPS,3,34,2DLDA,0.672
USPS,3,34,Nearest centroid,0.672
USPS,3,34,Ridge,0.618
USPS,3,34,Shrinkage LDA,0.672
USPS,3,35,L-2DLDA+,0.67
USPS,3,35,DATER-reg,0.664
USPS,3,35,MPCA,0.662
USPS,3,35,2DLDA,0.662
USPS,3,35,Nearest centroid,0.66
USPS,3,35,Ridge,0.638
USPS,3,35,Shrinkage LDA,0.65
USPS,3,36,L-2DLDA+,0.722
USPS,3,36,DATER-reg,0.706
USPS,3,36,MPCA,0.704
USPS,3,36,2DLDA,0.704
USPS,3,36,Nearest centroid,0.704
USPS,3,36,Ridge,0.564
USPS,3,36,Shrinkage LDA,0.64
USPS,3,37,L-2DLDA+,0.762
USPS,3,37,DATER-reg,0.732
USPS,3,37,MPCA,0.73
USPS,3,37,2DLDA,0.726
USPS,3,37,Nearest centroid,0.726
USPS,3,37,Ridge,0.658
USPS,3,37,Shrinkage LDA,0.71
USPS,3,38,L-2DLDA+,0.714
USPS,3,38,DATER-reg,0.722
USPS,3,38,MPCA,0.72
USPS,3,38,2DLDA,0.72
USPS,3,38,Nearest centroid,0.72
USPS,3,38,Ridge,0.62
USPS,3,38,Shrinkage LDA,0.738
USPS,3,39,L-2DLDA+,0.786
USPS,3,39,DATER-reg,0.784
USPS,3,39,MPCA,0.784
USPS,3,39,2DLDA,0.784
USPS,3,39,Nearest centroid,0.784
USPS,3,39,Ridge,0.636
USPS,3,39,Shrinkage LDA,0.686
USPS,3,40,L-2DLDA+,0.764
USPS,3,40,DATER-reg,0.76
USPS,3,40,MPCA,0.76
USPS,3,40,2DLDA,0.76
USPS,3,40,Nearest centroid,0.76
USPS,3,40,Ridge,0.582
USPS,3,40,Shrinkage LDA,0.676
USPS,3,41,L-2DLDA+,0.776
USPS,3,41,DATER-reg,0.764
USPS,3,41,MPCA,0.768
USPS,3,41,2DLDA,0.768
USPS,3,41,Nearest centroid,0.768
USPS,3,41,Ridge,0.678
USPS,3,41,Shrinkage LDA,0.748
USPS,3,42,L-2DLDA+,0.654
USPS,3,42,DATER-reg,0.638
USPS,3,42,MPCA,0.648
USPS,3,42,2DLDA,0.648
USPS,3,42,Nearest centroid,0.648
USPS,3,42,Ridge,0.558
USPS,3,42,Shrinkage LDA,0.586
USPS,3,43,L-2DLDA+,0.802
USPS,3,43,DATER-reg,0.798
USPS,3,43,MPCA,0.786
USPS,3,43,2DLDA,0.786
USPS,3,43,Nearest centroid,0.786
USPS,3,43,Ridge,0.712
USPS,3,43,Shrinkage LDA,0.78
USPS,3,44,L-2DLDA+,0.742
USPS,3,44,DATER-reg,0.742
USPS,3,44,MPCA,0.742
USPS,3,44,2DLDA,0.742
USPS,3,44,Nearest centroid,0.742
USPS,3,44,Ridge,0.696
USPS,3,44,Shrinkage LDA,0.756
USPS,3,45,L-2DLDA+,0.832
USPS,3,45,DATER-reg,0.812
USPS,3,45,MPCA,0.812
USPS,3,45,2DLDA,0.812
USPS,3,45,Nearest centroid,0.812
USPS,3,45,Ridge,0.686
USPS,3,45,Shrinkage LDA,0.782
USPS,3,46,L-2DLDA+,0.704
USPS,3,46,DATER-reg,0.674
USPS,3,46,MPCA,0.686
USPS,3,46,2DLDA,0.686
USPS,3,46,Nearest centroid,0.686
USPS,3,46,Ridge,0.562
USPS,3,46,Shrinkage LDA,0.62
USPS,3,47,L-2DLDA+,0.736
USPS,3,47,DATER-reg,0.742
USPS,3,47,MPCA,0.744
USPS,3,47,2DLDA,0.744
USPS,3,47,Nearest centroid,0.744
USPS,3,47,Ridge,0.636
USPS,3,47,Shrinkage LDA,0.716
USPS,3,48,L-2DLDA+,0.694
USPS,3,48,DATER-reg,0.684
USPS,3,48,MPCA,0.686
USPS,3,48,2DLDA,0.686
USPS,3,48,Nearest centroid,0.686
USPS,3,48,Ridge,0.624
USPS,3,48,Shrinkage LDA,0.716
USPS,3,49,L-2DLDA+,0.778
USPS,3,49,DATER-reg,0.766
USPS,3,49,MPCA,0.776
USPS,3,49,2DLDA,0.776
USPS,3,49,Nearest centroid,0.776
USPS,3,49,Ridge,0.708
USPS,3,49,Shrinkage LDA,0.742
USPS,5,0,L-2DLDA+,0.818
USPS,5,0,DATER-reg,0.806
USPS,5,0,MPCA,0.816
USPS,5,0,2DLDA,0.816
USPS,5,0,Nearest centroid,0.816
USPS,5,0,Ridge,0.71
USPS,5,0,Shrinkage LDA,0.828
USPS,5,1,L-2DLDA+,0.832
USPS,5,1,DATER-reg,0.814
USPS,5,1,MPCA,0.828
USPS,5,1,2DLDA,0.828
USPS,5,1,Nearest centroid,0.828
USPS,5,1,Ridge,0.756
USPS,5,1,Shrinkage LDA,0.82
USPS,5,2,L-2DLDA+,0.81
USPS,5,2,DATER-reg,0.786
USPS,5,2,MPCA,0.8
USPS,5,2,2DLDA,0.798
USPS,5,2,Nearest centroid,0.798
USPS,5,2,Ridge,0.596
USPS,5,2,Shrinkage LDA,0.738
USPS,5,3,L-2DLDA+,0.75
USPS,5,3,DATER-reg,0.756
USPS,5,3,MPCA,0.756
USPS,5,3,2DLDA,0.756
USPS,5,3,Nearest centroid,0.756
USPS,5,3,Ridge,0.608
USPS,5,3,Shrinkage LDA,0.756
USPS,5,4,L-2DLDA+,0.776
USPS,5,4,DATER-reg,0.754
USPS,5,4,MPCA,0.754
USPS,5,4,2DLDA,0.756
USPS,5,4,Nearest centroid,0.756
USPS,5,4,Ridge,0.642
USPS,5,4,Shrinkage LDA,0.782
USPS,5,5,L-2DLDA+,0.828
USPS,5,5,DATER-reg,0.824
USPS,5,5,MPCA,0.83
USPS,5,5,2DLDA,0.83
USPS,5,5,Nearest centroid,0.83
USPS,5,5,Ridge,0.714
USPS,5,5,Shrinkage LDA,0.84
USPS,5,6,L-2DLDA+,0.786
USPS,5,6,DATER-reg,0.77
USPS,5,6,MPCA,0.78
USPS,5,6,2DLDA,0.78
USPS,5,6,Nearest centroid,0.778
USPS,5,6,Ridge,0.716
USPS,5,6,Shrinkage LDA,0.788
USPS,5,7,L-2DLDA+,0.806
USPS,5,7,DATER-reg,0.8
USPS,5,7,MPCA,0.796
USPS,5,7,2DLDA,0.796
USPS,5,7,Nearest centroid,0.796
USPS,5,7,Ridge,0.648
USPS,5,7,Shrinkage LDA,0.82
USPS,5,8,L-2DLDA+,0.77
USPS,5,8,DATER-reg,0.758
USPS,5,8,MPCA,0.748
USPS,5,8,2DLDA,0.748
USPS,5,8,Nearest centroid,0.748
USPS,5,8,Ridge,0.592
USPS,5,8,Shrinkage LDA,0.744
USPS,5,9,L-2DLDA+,0.798
USPS,5,9,DATER-reg,0.786
USPS,5,9,MPCA,0.782
USPS,5,9,2DLDA,0.782
USPS,5,9,Nearest centroid,0.782
USPS,5,9,Ridge,0.584
USPS,5,9,Shrinkage LDA,0.72
USPS,5,10,L-2DLDA+,0.76
USPS,5,10,DATER-reg,0.752
USPS,5,10,MPCA,0.758
USPS,5,10,2DLDA,0.758
USPS,5,10,Nearest centroid,0.758
USPS,5,10,Ridge,0.66
USPS,5,10,Shrinkage LDA,0.762
USPS,5,11,L-2DLDA+,0.814
USPS,5,11,DATER-reg,0.82
USPS,5,11,MPCA,0.814
USPS,5,11,2DLDA,0.814
USPS,5,11,Nearest centroid,0.814
USPS,5,11,Ridge,0.752
USPS,5,11,Shrinkage LDA,0.806
USPS,5,12,L-2DLDA+,0.764
USPS,5,12,DATER-reg,0.76
USPS,5,12,MPCA,0.76
USPS,5,12,2DLDA,0.76
USPS,5,12,Nearest centroid,0.76
USPS,5,12,Ridge,0.616
USPS,5,12,Shrinkage LDA,0.744
USPS,5,13,L-2DLDA+,0.754
USPS,5,13,DATER-reg,0.736
USPS,5,13,MPCA,0.738
USPS,5,13,2DLDA,0.736
USPS,5,13,Nearest centroid,0.736
USPS,5,13,Ridge,0.526
USPS,5,13,Shrinkage LDA,0.708
USPS,5,14,L-2DLDA+,0.78
USPS,5,14,DATER-reg,0.762
USPS,5,14,MPCA,0.766
USPS,5,14,2DLDA,0.766
USPS,5,14,Nearest centroid,0.768
USPS,5,14,Ridge,0.686
USPS,5,14,Shrinkage LDA,0.812
USPS,5,15,L-2DLDA+,0.788
USPS,5,15,DATER-reg,0.782
USPS,5,15,MPCA,0.776
USPS,5,15,2DLDA,0.776
USPS,5,15,Nearest centroid,0.776
USPS,5,15,Ridge,0.624
USPS,5,15,Shrinkage LDA,0.754
USPS,5,16,L-2DLDA+,0.828
USPS,5,16,DATER-reg,0.806
USPS,5,16,MPCA,0.806
USPS,5,16,2DLDA,0.806
USPS,5,16,Nearest centroid,0.806
USPS,5,16,Ridge,0.664
USPS,5,16,Shrinkage LDA,0.796
USPS,5,17,L-2DLDA+,0.842
USPS,5,17,DATER-reg,0.832
USPS,5,17,MPCA,0.834
USPS,5,17,2DLDA,0.834
USPS,5,17,Nearest centroid,0.834
USPS,5,17,Ridge,0.666
USPS,5,17,Shrinkage LDA,0.834
USPS,5,18,L-2DLDA+,0.752
USPS,5,18,DATER-reg,0.766
USPS,5,18,MPCA,0.756
USPS,5,18,2DLDA,0.756
USPS,5,18,Nearest centroid,0.756
USPS,5,18,Ridge,0.656
USPS,5,18,Shrinkage LDA,0.774
USPS,5,19,L-2DLDA+,0.752
USPS,5,19,DATER-reg,0.74
USPS,5,19,MPCA,0.738
USPS,5,19,2DLDA,0.74
USPS,5,19,Nearest centroid,0.738
USPS,5,19,Ridge,0.678
USPS,5,19,Shrinkage LDA,0.8
USPS,5,20,L-2DLDA+,0.786
USPS,5,20,DATER-reg,0.786
USPS,5,20,MPCA,0.788
USPS,5,20,2DLDA,0.788
USPS,5,20,Nearest centroid,0.788
USPS,5,20,Ridge,0.642
USPS,5,20,Shrinkage LDA,0.762
USPS,5,21,L-2DLDA+,0.732
USPS,5,21,DATER-reg,0.742
USPS,5,21,MPCA,0.732
USPS,5,21,2DLDA,0.732
USPS,5,21,Nearest centroid,0.732
USPS,5,21,Ridge,0.628
USPS,5,21,Shrinkage LDA,0.748
USPS,5,22,L-2DLDA+,0.802
USPS,5,22,DATER-reg,0.79
USPS,5,22,MPCA,0.788
USPS,5,22,2DLDA,0.788
USPS,5,22,Nearest centroid,0.788
USPS,5,22,Ridge,0.628
USPS,5,22,Shrinkage LDA,0.778
USPS,5,23,L-2DLDA+,0.808
USPS,5,23,DATER-reg,0.802
USPS,5,23,MPCA,0.806
USPS,5,23,2DLDA,0.806
USPS,5,23,Nearest centroid,0.806
USPS,5,23,Ridge,0.616
USPS,5,23,Shrinkage LDA,0.768
USPS,5,24,L-2DLDA+,0.784
USPS,5,24,DATER-reg,0.78
USPS,5,24,MPCA,0.784
USPS,5,24,2DLDA,0.784
USPS,5,24,Nearest centroid,0.784
USPS,5,24,Ridge,0.646
USPS,5,24,Shrinkage LDA,0.786
USPS,5,25,L-2DLDA+,0.78
USPS,5,25,DATER-reg,0.776
USPS,5,25,MPCA,0.764
USPS,5,25,2DLDA,0.764
USPS,5,25,Nearest centroid,0.764
USPS,5,25,Ridge,0.648
USPS,5,25,Shrinkage LDA,0.826
USPS,5,26,L-2DLDA+,0.786
USPS,5,26,DATER-reg,0.768
USPS,5,26,MPCA,0.778
USPS,5,26,2DLDA,0.778
USPS,5,26,Nearest centroid,0.778
USPS,5,26,Ridge,0.57
USPS,5,26,Shrinkage LDA,0.68
USPS,5,27,L-2DLDA+,0.778
USPS,5,27,DATER-reg,0.766
USPS,5,27,MPCA,0.774
USPS,5,27,2DLDA,0.774
USPS,5,27,Nearest centroid,0.774
USPS,5,27,Ridge,0.64
USPS,5,27,Shrinkage LDA,0.77
USPS,5,28,L-2DLDA+,0.788
USPS,5,28,DATER-reg,0.782
USPS,5,28,MPCA,0.79
USPS,5,28,2DLDA,0.79
USPS,5,28,Nearest centroid,0.79
USPS,5,28,Ridge,0.674
USPS,5,28,Shrinkage LDA,0.804
USPS,5,29,L-2DLDA+,0.772
USPS,5,29,DATER-reg,0.768
USPS,5,29,MPCA,0.776
USPS,5,29,2DLDA,0.776
USPS,5,29,Nearest centroid,0.776
USPS,5,29,Ridge,0.622
USPS,5,29,Shrinkage LDA,0.744
USPS,5,30,L-2DLDA+,0.768
USPS,5,30,DATER-reg,0.768
USPS,5,30,MPCA,0.748
USPS,5,30,2DLDA,0.75
USPS,5,30,Nearest centroid,0.75
USPS,5,30,Ridge,0.64
USPS,5,30,Shrinkage LDA,0.732
USPS,5,31,L-2DLDA+,0.748
USPS,5,31,DATER-reg,0.74
USPS,5,31,MPCA,0.732
USPS,5,31,2DLDA,0.732
USPS,5,31,Nearest centroid,0.732
USPS,5,31,Ridge,0.594
USPS,5,31,Shrinkage LDA,0.698
USPS,5,32,L-2DLDA+,0.746
USPS,5,32,DATER-reg,0.756
USPS,5,32,MPCA,0.746
USPS,5,32,2DLDA,0.746
USPS,5,32,Nearest centroid,0.748
USPS,5,32,Ridge,0.662
USPS,5,32,Shrinkage LDA,0.78
USPS,5,33,L-2DLDA+,0.784
USPS,5,33,DATER-reg,0.786
USPS,5,33,MPCA,0.792
USPS,5,33,2DLDA,0.792
USPS,5,33,Nearest centroid,0.792
USPS,5,33,Ridge,0.636
USPS,5,33,Shrinkage LDA,0.804
USPS,5,34,L-2DLDA+,0.776
USPS,5,34,DATER-reg,0.754
USPS,5,34,MPCA,0.752
USPS,5,34,2DLDA,0.752
USPS,5,34,Nearest centroid,0.752
USPS,5,34,Ridge,0.644
USPS,5,34,Shrinkage LDA,0.78
USPS,5,35,L-2DLDA+,0.792
USPS,5,35,DATER-reg,0.778
USPS,5,35,MPCA,0.784
USPS,5,35,2DLDA,0.784
USPS,5,35,Nearest centroid,0.784
USPS,5,35,Ridge,0.642
USPS,5,35,Shrinkage LDA,0.768
USPS,5,36,L-2DLDA+,0.802
USPS,5,36,DATER-reg,0.812
USPS,5,36,MPCA,0.802
USPS,5,36,2DLDA,0.802
USPS,5,36,Nearest centroid,0.802
USPS,5,36,Ridge,0.66
USPS,5,36,Shrinkage LDA,0.778
USPS,5,37,L-2DLDA+,0.748
USPS,5,37,DATER-reg,0.746
USPS,5,37,MPCA,0.744
USPS,5,37,2DLDA,0.744
USPS,5,37,Nearest centroid,0.744
USPS,5,37,Ridge,0.64
USPS,5,37,Shrinkage LDA,0.734
USPS,5,38,L-2DLDA+,0.77
USPS,5,38,DATER-reg,0.764
USPS,5,38,MPCA,0.758
USPS,5,38,2DLDA,0.758
USPS,5,38,Nearest centroid,0.758
USPS,5,38,Ridge,0.598
USPS,5,38,Shrinkage LDA,0.782
USPS,5,39,L-2DLDA+,0.772
USPS,5,39,DATER-reg,0.768
USPS,5,39,MPCA,0.776
USPS,5,39,2DLDA,0.776
USPS,5,39,Nearest centroid,0.776
USPS,5,39,Ridge,0.6
USPS,5,39,Shrinkage LDA,0.776
USPS,5,40,L-2DLDA+,0.74
USPS,5,40,DATER-reg,0.732
USPS,5,40,MPCA,0.732
USPS,5,40,2DLDA,0.732
USPS,5,40,Nearest centroid,0.732
USPS,5,40,Ridge,0.594
USPS,5,40,Shrinkage LDA,0.71
USPS,5,41,L-2DLDA+,0.756
USPS,5,41,DATER-reg,0.744
USPS,5,41,MPCA,0.74
USPS,5,41,2DLDA,0.74
USPS,5,41,Nearest centroid,0.74
USPS,5,41,Ridge,0.67
USPS,5,41,Shrinkage LDA,0.75
USPS,5,42,L-2DLDA+,0.792
USPS,5,42,DATER-reg,0.798
USPS,5,42,MPCA,0.79
USPS,5,42,2DLDA,0.79
USPS,5,42,Nearest centroid,0.79
USPS,5,42,Ridge,0.664
USPS,5,42,Shrinkage LDA,0.79
USPS,5,43,L-2DLDA+,0.81
USPS,5,43,DATER-reg,0.812
USPS,5,43,MPCA,0.81
USPS,5,43,2DLDA,0.81
USPS,5,43,Nearest centroid,0.81
USPS,5,43,Ridge,0.662
USPS,5,43,Shrinkage LDA,0.812
USPS,5,44,L-2DLDA+,0.714
USPS,5,44,DATER-reg,0.734
USPS,5,44,MPCA,0.726
USPS,5,44,2DLDA,0.726
USPS,5,44,Nearest centroid,0.726
USPS,5,44,Ridge,0.606
USPS,5,44,Shrinkage LDA,0.692
USPS,5,45,L-2DLDA+,0.772
USPS,5,45,DATER-reg,0.772
USPS,5,45,MPCA,0.764
USPS,5,45,2DLDA,0.764
USPS,5,45,Nearest centroid,0.764
USPS,5,45,Ridge,0.598
USPS,5,45,Shrinkage LDA,0.728
USPS,5,46,L-2DLDA+,0.758
USPS,5,46,DATER-reg,0.756
USPS,5,46,MPCA,0.758
USPS,5,46,2DLDA,0.758
USPS,5,46,Nearest centroid,0.758
USPS,5,46,Ridge,0.656
USPS,5,46,Shrinkage LDA,0.77
USPS,5,47,L-2DLDA+,0.756
USPS,5,47,DATER-reg,0.758
USPS,5,47,MPCA,0.76
USPS,5,47,2DLDA,0.76
USPS,5,47,Nearest centroid,0.76
USPS,5,47,Ridge,0.632
USPS,5,47,Shrinkage LDA,0.756
USPS,5,48,L-2DLDA+,0.824
USPS,5,48,DATER-reg,0.812
USPS,5,48,MPCA,0.812
USPS,5,48,2DLDA,0.812
USPS,5,48,Nearest centroid,0.812
USPS,5,48,Ridge,0.68
USPS,5,48,Shrinkage LDA,0.818
USPS,5,49,L-2DLDA+,0.758
USPS,5,49,DATER-reg,0.754
USPS,5,49,MPCA,0.758
USPS,5,49,2DLDA,0.758
USPS,5,49,Nearest centroid,0.758
USPS,5,49,Ridge,0.682
USPS,5,49,Shrinkage LDA,0.77
MNIST,3,0,L-2DLDA+,0.632
MNIST,3,0,DATER-reg,0.594
MNIST,3,0,MPCA,0.61
MNIST,3,0,2DLDA,0.606
MNIST,3,0,Nearest centroid,0.608
MNIST,3,0,Ridge,0.564
MNIST,3,0,Shrinkage LDA,0.574
MNIST,3,1,L-2DLDA+,0.576
MNIST,3,1,DATER-reg,0.558
MNIST,3,1,MPCA,0.56
MNIST,3,1,2DLDA,0.562
MNIST,3,1,Nearest centroid,0.558
MNIST,3,1,Ridge,0.528
MNIST,3,1,Shrinkage LDA,0.55
MNIST,3,2,L-2DLDA+,0.568
MNIST,3,2,DATER-reg,0.548
MNIST,3,2,MPCA,0.56
MNIST,3,2,2DLDA,0.554
MNIST,3,2,Nearest centroid,0.554
MNIST,3,2,Ridge,0.482
MNIST,3,2,Shrinkage LDA,0.472
MNIST,3,3,L-2DLDA+,0.686
MNIST,3,3,DATER-reg,0.65
MNIST,3,3,MPCA,0.664
MNIST,3,3,2DLDA,0.656
MNIST,3,3,Nearest centroid,0.668
MNIST,3,3,Ridge,0.542
MNIST,3,3,Shrinkage LDA,0.556
MNIST,3,4,L-2DLDA+,0.624
MNIST,3,4,DATER-reg,0.596
MNIST,3,4,MPCA,0.628
MNIST,3,4,2DLDA,0.618
MNIST,3,4,Nearest centroid,0.622
MNIST,3,4,Ridge,0.508
MNIST,3,4,Shrinkage LDA,0.508
MNIST,3,5,L-2DLDA+,0.598
MNIST,3,5,DATER-reg,0.552
MNIST,3,5,MPCA,0.574
MNIST,3,5,2DLDA,0.574
MNIST,3,5,Nearest centroid,0.574
MNIST,3,5,Ridge,0.508
MNIST,3,5,Shrinkage LDA,0.588
MNIST,3,6,L-2DLDA+,0.598
MNIST,3,6,DATER-reg,0.582
MNIST,3,6,MPCA,0.576
MNIST,3,6,2DLDA,0.58
MNIST,3,6,Nearest centroid,0.58
MNIST,3,6,Ridge,0.556
MNIST,3,6,Shrinkage LDA,0.56
MNIST,3,7,L-2DLDA+,0.608
MNIST,3,7,DATER-reg,0.574
MNIST,3,7,MPCA,0.58
MNIST,3,7,2DLDA,0.592
MNIST,3,7,Nearest centroid,0.584
