dataset,shots,rep,method,accuracy
Digits,3,20,Ridge,0.652
Digits,3,20,Shrinkage LDA,0.73
Digits,3,21,L-2DLDA+,0.83
Digits,3,21,DATER-reg,0.826
Digits,3,21,MPCA,0.824
Digits,3,21,2DLDA,0.824
Digits,3,21,Nearest centroid,0.824
Digits,3,21,Ridge,0.73
Digits,3,21,Shrinkage LDA,0.798
Digits,3,22,L-2DLDA+,0.816
Digits,3,22,DATER-reg,0.82
Digits,3,22,MPCA,0.814
Digits,3,22,2DLDA,0.814
Digits,3,22,Nearest centroid,0.814
Digits,3,22,Ridge,0.706
Digits,3,22,Shrinkage LDA,0.774
Digits,3,23,L-2DLDA+,0.836
Digits,3,23,DATER-reg,0.824
Digits,3,23,MPCA,0.814
Digits,3,23,2DLDA,0.814
Digits,3,23,Nearest centroid,0.814
Digits,3,23,Ridge,0.692
Digits,3,23,Shrinkage LDA,0.804
Digits,3,24,L-2DLDA+,0.77
Digits,3,24,DATER-reg,0.76
Digits,3,24,MPCA,0.758
Digits,3,24,2DLDA,0.758
Digits,3,24,Nearest centroid,0.758
Digits,3,24,Ridge,0.634
Digits,3,24,Shrinkage LDA,0.678
Digits,3,25,L-2DLDA+,0.784
Digits,3,25,DATER-reg,0.776
Digits,3,25,MPCA,0.776
Digits,3,25,2DLDA,0.776
Digits,3,25,Nearest centroid,0.776
Digits,3,25,Ridge,0.626
Digits,3,25,Shrinkage LDA,0.736
Digits,3,26,L-2DLDA+,0.79
Digits,3,26,DATER-reg,0.768
Digits,3,26,MPCA,0.776
Digits,3,26,2DLDA,0.776
Digits,3,26,Nearest centroid,0.776
Digits,3,26,Ridge,0.67
Digits,3,26,Shrinkage LDA,0.724
Digits,3,27,L-2DLDA+,0.794
Digits,3,27,DATER-reg,0.802
Digits,3,27,MPCA,0.804
Digits,3,27,2DLDA,0.804
Digits,3,27,Nearest centroid,0.804
Digits,3,27,Ridge,0.636
Digits,3,27,Shrinkage LDA,0.788
Digits,3,28,L-2DLDA+,0.8
Digits,3,28,DATER-reg,0.796
Digits,3,28,MPCA,0.79
Digits,3,28,2DLDA,0.79
Digits,3,28,Nearest centroid,0.79
Digits,3,28,Ridge,0.668
Digits,3,28,Shrinkage LDA,0.756
Digits,3,29,L-2DLDA+,0.85
Digits,3,29,DATER-reg,0.838
Digits,3,29,MPCA,0.838
Digits,3,29,2DLDA,0.838
Digits,3,29,Nearest centroid,0.838
Digits,3,29,Ridge,0.682
Digits,3,29,Shrinkage LDA,0.794
Digits,3,30,L-2DLDA+,0.812
Digits,3,30,DATER-reg,0.806
Digits,3,30,MPCA,0.808
Digits,3,30,2DLDA,0.808
Digits,3,30,Nearest centroid,0.808
Digits,3,30,Ridge,0.712
Digits,3,30,Shrinkage LDA,0.786
Digits,3,31,L-2DLDA+,0.758
Digits,3,31,DATER-reg,0.752
Digits,3,31,MPCA,0.746
Digits,3,31,2DLDA,0.746
Digits,3,31,Nearest centroid,0.746
Digits,3,31,Ridge,0.682
Digits,3,31,Shrinkage LDA,0.76
Digits,3,32,L-2DLDA+,0.792
Digits,3,32,DATER-reg,0.8
Digits,3,32,MPCA,0.798
Digits,3,32,2DLDA,0.798
Digits,3,32,Nearest centroid,0.798
Digits,3,32,Ridge,0.706
Digits,3,32,Shrinkage LDA,0.782
Digits,3,33,L-2DLDA+,0.792
Digits,3,33,DATER-reg,0.796
Digits,3,33,MPCA,0.788
Digits,3,33,2DLDA,0.788
Digits,3,33,Nearest centroid,0.788
Digits,3,33,Ridge,0.562
Digits,3,33,Shrinkage LDA,0.734
Digits,3,34,L-2DLDA+,0.722
Digits,3,34,DATER-reg,0.72
Digits,3,34,MPCA,0.716
Digits,3,34,2DLDA,0.716
Digits,3,34,Nearest centroid,0.716
Digits,3,34,Ridge,0.62
Digits,3,34,Shrinkage LDA,0.658
Digits,3,35,L-2DLDA+,0.85
Digits,3,35,DATER-reg,0.854
Digits,3,35,MPCA,0.854
Digits,3,35,2DLDA,0.854
Digits,3,35,Nearest centroid,0.854
Digits,3,35,Ridge,0.722
Digits,3,35,Shrinkage LDA,0.798
Digits,3,36,L-2DLDA+,0.762
Digits,3,36,DATER-reg,0.758
Digits,3,36,MPCA,0.758
Digits,3,36,2DLDA,0.758
Digits,3,36,Nearest centroid,0.758
Digits,3,36,Ridge,0.66
Digits,3,36,Shrinkage LDA,0.688
Digits,3,37,L-2DLDA+,0.836
Digits,3,37,DATER-reg,0.836
Digits,3,37,MPCA,0.836
Digits,3,37,2DLDA,0.836
