rep,r,rho,lambda,init,iter,delta_r,delta_c,delta
3,40,0.3,0.1,identity,5,0.0002171701861535933,0.0001000291690998297,0.00015859967762671151
3,40,0.3,0.1,identity,6,3.5988163300292723e-05,1.636261916580459e-05,2.6175391233048656e-05
3,40,0.3,0.1,identity,7,6.1529271644806275e-06,2.765238542480537e-06,4.4590828534805825e-06
3,40,0.3,0.1,identity,8,1.073665450974093e-06,4.780754078099175e-07,7.758704293920052e-07
3,40,0.3,0.1,identity,9,1.900888783444043e-07,8.404896932447527e-08,1.370689238344398e-07
3,40,0.3,0.1,identity,10,3.402642543139275e-08,1.496759472815243e-08,2.449701007977259e-08
3,40,0.3,0.1,identity,11,6.144262046077562e-09,2.692835923201444e-09,4.418548984639503e-09
3,40,0.3,0.1,identity,12,1.1175198924680545e-09,4.885378849776733e-10,8.030288887228638e-10
3,40,0.3,0.1,identity,13,2.045051796064819e-10,8.92543125727033e-11,1.4687974608959261e-10
3,40,0.3,0.1,identity,14,3.762466026470105e-11,1.6404252523502723e-11,2.7014456394101885e-11
3,40,0.3,0.1,identity,15,6.954943188065588e-12,3.0306345697912524e-12,4.99278887892842e-12
3,40,0.3,0.1,identity,16,1.291073059371071e-12,5.626537046784567e-13,9.268633820247638e-13
3,40,0.3,0.1,identity,17,2.4060230499627023e-13,1.0476379451069575e-13,1.7268304975348298e-13
3,40,0.3,0.1,identity,18,4.50113708224942e-14,1.96099767148916e-14,3.23106737686929e-14
3,40,0.3,0.1,identity,19,8.361911312716043e-15,3.667314060915476e-15,6.01461268681576e-15
3,40,0.3,0.1,identity,20,1.7141024986476446e-15,9.014965627886968e-16,1.3077995307181708e-15
4,40,0.3,0.1,identity,1,0.4746209664003854,0.39322627740523547,0.4339236219028104
4,40,0.3,0.1,identity,2,0.08884610400223751,0.03221030096483935,0.060528202483538435
4,40,0.3,0.1,identity,3,0.010419375868658619,0.004581273119400989,0.007500324494029804
4,40,0.3,0.1,identity,4,0.0014871780510980184,0.0006766927248583199,0.0010819353879781691
4,40,0.3,0.1,identity,5,0.00023189256818951983,0.00010699548468044064,0.00016944402643498022
4,40,0.3,0.1,identity,6,3.8213788831837844e-05,1.776175056888869e-05,2.798776970036327e-05
4,40,0.3,0.1,identity,7,6.53707587989379e-06,3.0508866305175057e-06,4.793981255205648e-06
4,40,0.3,0.1,identity,8,1.148301613253982e-06,5.371566167106235e-07,8.427291149823028e-07
4,40,0.3,0.1,identity,9,2.056896384635057e-07,9.634356326533013e-08,1.5101660086441791e-07
4,40,0.3,0.1,identity,10,3.739698527111183e-08,1.752925894831049e-08,2.746312210971116e-08
4,40,0.3,0.1,identity,11,6.879224804544162e-09,3.225816389726536e-09,5.052520597135349e-09
4,40,0.3,0.1,identity,12,1.2774205043484757e-09,5.991290475080389e-10,9.382747759282573e-10
4,40,0.3,0.1,identity,13,2.3905357063476077e-10,1.1212708331199334e-10,1.7559032697337706e-10
4,40,0.3,0.1,identity,14,4.5027036209384125e-11,2.111887644374853e-11,3.3072956326566326e-11
4,40,0.3,0.1,identity,15,8.527856668641792e-12,3.999320436431594e-12,6.263588552536693e-12
4,40,0.3,0.1,identity,16,1.6226897260381424e-12,7.608070118043022e-13,1.1917483689212223e-12
4,40,0.3,0.1,identity,17,3.100233908685598e-13,1.4530286346046275e-13,2.276631271645113e-13
4,40,0.3,0.1,identity,18,5.94099705598542e-14,2.794936504274642e-14,4.367966780130031e-14
4,40,0.3,0.1,identity,19,1.1476918754265647e-14,5.35375841764814e-15,8.415338585956894e-15
4,40,0.3,0.1,identity,20,2.1908845507312376e-15,1.3193738082418962e-15,1.7551291794865669e-15
5,40,0.3,0.1,identity,1,0.46457005702086834,0.39335664990648095,0.42896335346367465
5,40,0.3,0.1,identity,2,0.09016216058217395,0.03252688416289329,0.06134452237253362
5,40,0.3,0.1,identity,3,0.010051698739458324,0.004504048512612924,0.007277873626035624
5,40,0.3,0.1,identity,4,0.0014356967370118834,0.0006606122628152985,0.001048154499913591
5,40,0.3,0.1,identity,5,0.00022755228911764566,0.00010481884944390738,0.00016618556928077653
5,40,0.3,0.1,identity,6,3.797930003951167e-05,1.7459677050764404e-05,2.7719488545138036e-05
5,40,0.3,0.1,identity,7,6.5369291104964545e-06,2.99972729987424e-06,4.768328205185347e-06
5,40,0.3,0.1,identity,8,1.148626805275534e-06,5.264409994758927e-07,8.375339023757133e-07
5,40,0.3,0.1,identity,9,2.0486080041004766e-07,9.38257482291408e-08,1.4934327431959422e-07
5,40,0.3,0.1,identity,10,3.695164162279334e-08,1.691942496979922e-08,2.693553329629628e-08
5,40,0.3,0.1,identity,11,6.724378342164833e-09,3.079307378912556e-09,4.901842860538695e-09
5,40,0.3,0.1,identity,12,1.2325099312669533e-09,5.646319152994401e-10,8.985709232831967e-10
5,40,0.3,0.1,identity,13,2.2726704190117791e-10,1.0417828115809569e-10,1.657226615296368e-10
5,40,0.3,0.1,identity,14,4.212283906613106e-11,1.9323629569429378e-11,3.0723234317780216e-11
5,40,0.3,0.1,identity,15,7.842476019025468e-12,3.600831197470535e-12,5.721653608248001e-12
5,40,0.3,0.1,identity,16,1.4660206963908983e-12,6.737389124895327e-13,1.0698798044402156e-12
5,40,0.3,0.1,identity,17,2.750140900530317e-13,1.2647417046382836e-13,2.0074413025843004e-13
5,40,0.3,0.1,identity,18,5.1781578207620265e-14,2.382173712389434e-14,3.7801657665757304e-14
5,40,0.3,0.1,identity,19,9.772174834320038e-15,4.525089724809983e-15,7.14863227956501e-15
5,40,0.3,0.1,identity,20,1.9559967952359755e-15,1.0135047848479044e-15,1.48475079004194e-15
6,40,0.3,0.1,identity,1,0.4807385657754448,0.3974540895118375,0.43909632764364115
6,40,0.3,0.1,identity,2,0.09069552853670378,0.031849847349094074,0.061272687942898925
6,40,0.3,0.1,identity,3,0.010701785412244752,0.004555098507082726,0.007628441959663739
6,40,0.3,0.1,identity,4,0.0015797282839122059,0.0006882054070912069,0.0011339668455017063
6,40,0.3,0.1,identity,5,0.00025726995177012383,0.00011236119998414783,0.00018481557587713584
6,40,0.3,0.1,identity,6,4.416446211200393e-05,1.9273474648957267e-05,3.17189683804806e-05
6,40,0.3,0.1,identity,7,7.822661751121088e-06,3.4107945469579493e-06,5.616728149039519e-06
6,40,0.3,0.1,identity,8,1.413756151790354e-06,6.16238595481552e-07,1.0149973736359529e-06
6,40,0.3,0.1,identity,9,2.590461798605847e-07,1.1295920873254849e-07,1.860026942965666e-07
6,40,0.3,0.1,identity,10,4.794066500985936e-08,2.092528310048714e-08,3.443297405517325e-08
6,40,0.3,0.1,identity,11,8.939322720820257e-09,3.907356054302341e-09,6.423339387561299e-09
6,40,0.3,0.1,identity,12,1.6767989429336493e-09,7.341698743242986e-10,1.205484408628974e-09
6,40,0.3,0.1,identity,13,3.160443859038223e-10,1.3863572426394598e-10,2.2734005508388413e-10
6,40,0.3,0.1,identity,14,5.980727137195734e-11,2.6286203973937355e-11,4.304673767294735e-11
6,40,0.3,0.1,identity,15,1.135631389836279e-11,5.00115799808674e-12,8.178735948224765e-12
6,40,0.3,0.1,identity,16,2.1626416746317e-12,9.541864950502419e-13,1.558414084840971e-12
6,40,0.3,0.1,identity,17,4.129536221496278e-13,1.8253954503227665e-13,2.977465835909522e-13
6,40,0.3,0.1,identity,18,7.89434856685977e-14,3.5003225517954795e-14,5.697335559327625e-14
6,40,0.3,0.1,identity,19,1.5127251892370046e-14,6.6623513324844e-15,1.0894801612427224e-14
6,40,0.3,0.1,identity,20,2.960587446302429e-15,1.4609635322206227e-15,2.210775489261526e-15
7,40,0.3,0.1,identity,1,0.49287924376448317,0.4050497712285083,0.44896450749649575
7,40,0.3,0.1,identity,2,0.08819431558881825,0.03274665944174915,0.0604704875152837
7,40,0.3,0.1,identity,3,0.010319717905118904,0.004621310417707439,0.007470514161413172
7,40,0.3,0.1,identity,4,0.0015156718673724888,0.0006929954902049169,0.0011043336787887029
7,40,0.3,0.1,identity,5,0.00024344815976583867,0.00011159408680194386,0.00017752112328389127
7,40,0.3,0.1,identity,6,4.10217049047496e-05,1.879970991262262e-05,2.991070740868611e-05
7,40,0.3,0.1,identity,7,7.1205125801502215e-06,3.2614991498751026e-06,5.191005865012662e-06
7,40,0.3,0.1,identity,8,1.2611441020611392e-06,5.774499667963311e-07,9.192970344287351e-07
7,40,0.3,0.1,identity,9,2.2665837708178374e-07,1.0376555814253777e-07,1.6521196761216074e-07
7,40,0.3,0.1,identity,10,4.119196324377826e-08,1.8857487424225643e-08,3.002472533400195e-08
7,40,0.3,0.1,identity,11,7.551860606383471e-09,3.457351990083851e-09,5.5046062982336606e-09
7,40,0.3,0.1,identity,12,1.3942942929533078e-09,6.383679720543405e-10,1.0163311325038242e-09
7,40,0.3,0.1,identity,13,2.5891674128961467e-10,1.1855015198445439e-10,1.8873344663703453e-10
7,40,0.3,0.1,identity,14,4.83110001212457e-11,2.212109841927091e-11,3.521604927025831e-11
7,40,0.3,0.1,identity,15,9.05069593784239e-12,4.144270632469203e-12,6.597483285155796e-12
7,40,0.3,0.1,identity,16,1.7013603863195916e-12,7.790085145684176e-13,1.2401844504440046e-12
7,40,0.3,0.1,identity,17,3.2078514078956665e-13,1.4695440377856372e-13,2.338697722840652e-13
7,40,0.3,0.1,identity,18,6.066605330487398e-14,2.772566604760562e-14,4.41958596762398e-14
7,40,0.3,0.1,identity,19,1.1500577452954608e-14,5.251045242068347e-15,8.375811347511478e-15
7,40,0.3,0.1,identity,20,2.2233486367314045e-15,1.1670942949389611e-15,1.695221465835183e-15
8,40,0.3,0.1,identity,1,0.4899471774984281,0.4111026091967542,0.45052489334759116
8,40,0.3,0.1,identity,2,0.09676875032183878,0.0367504052884421,0.06675957780514044
8,40,0.3,0.1,identity,3,0.011335815479240613,0.0051535952045004395,0.008244705341870526
8,40,0.3,0.1,identity,4,0.0016515931013894823,0.0007557713377911167,0.0012036822195902995
8,40,0.3,0.1,identity,5,0.00026244499817358846,0.00011928628957285175,0.00019086564387322012
8,40,0.3,0.1,identity,6,4.3796450020237436e-05,1.977302378632929e-05,3.178473690328336e-05
8,40,0.3,0.1,identity,7,7.539426975465928e-06,3.385660663245023e-06,5.462543819355476e-06
8,40,0.3,0.1,identity,8,1.3253118113179124e-06,5.927831266968216e-07,9.59047469007367e-07
8,40,0.3,0.1,identity,9,2.3644443782190296e-07,1.0545942964190154e-07,1.7095193373190225e-07
8,40,0.3,0.1,identity,10,4.26516703240343e-08,1.89871475068385e-08,3.08194089154364e-08
8,40,0.3,0.1,identity,11,7.760601974058472e-09,3.450398873883445e-09,5.605500423970959e-09
8,40,0.3,0.1,identity,12,1.4220501355636255e-09,6.317379408234144e-10,1.02689403819352e-09
8,40,0.3,0.1,identity,13,2.621289377043001e-10,1.1639083228619255e-10,1.8925988499524633e-10
8,40,0.3,0.1,identity,14,4.856782781274533e-11,2.1558752484879143e-11,3.5063290148812234e-11
8,40,0.3,0.1,identity,15,9.039808878534556e-12,4.011924471365695e-12,6.525866674950125e-12
8,40,0.3,0.1,identity,16,1.6893684213420757e-12,7.496577223352845e-13,1.2195130718386802e-12
8,40,0.3,0.1,identity,17,3.1684947510493073e-13,1.405413884754296e-13,2.2869543179018015e-13
8,40,0.3,0.1,identity,18,5.966542210289809e-14,2.648042439808375e-14,4.307292325049092e-14
8,40,0.3,0.1,identity,19,1.1243853647883567e-14,5.03813140966229e-15,8.140992528772929e-15
8,40,0.3,0.1,identity,20,2.2690528824573466e-15,1.2170093202669337e-15,1.7430311013621402e-15
9,40,0.3,0.1,identity,1,0.48301842027834474,0.39981735699039095,0.4414178886343678
9,40,0.3,0.1,identity,2,0.09493075689049146,0.035492276304571115,0.06521151659753129
9,40,0.3,0.1,identity,3,0.010832315303325736,0.004946687432953526,0.007889501368139632
9,40,0.3,0.1,identity,4,0.0015339222703793895,0.0007198265448126426,0.0011268744075960161
9,40,0.3,0.1,identity,5,0.00024292394519947924,0.0001141905251607465,0.00017855723518011288
9,40,0.3,0.1,identity,6,4.09829878568349e-05,1.919780194308355e-05,3.0090394899959228e-05
9,40,0.3,0.1,identity,7,7.173081009596018e-06,3.347996082448768e-06,5.2605385460223936e-06
9,40,0.3,0.1,identity,8,1.2843223606164472e-06,5.978528370614298e-07,9.410875988389386e-07
9,40,0.3,0.1,identity,9,2.3346292574026378e-07,1.084781659429483e-07,1.7097054584160603e-07
9,40,0.3,0.1,identity,10,4.289952535938505e-08,1.9907009223730813e-08,3.1403267291557934e-08
9,40,0.3,0.1,identity,11,7.947142559978066e-09,3.683914601195131e-09,5.815528580586599e-09
9,40,0.3,0.1,identity,12,1.4815536429892818e-09,6.861401386454962e-10,1.083846890817389e-09
9,40,0.3,0.1,identity,13,2.7760398860628436e-10,1.2845160401598142e-10,2.030277963111329e-10
9,40,0.3,0.1,identity,14,5.2231981746197895e-11,2.4147962575017713e-11,3.81899721606078e-11
9,40,0.3,0.1,identity,15,9.861737306374186e-12,4.555528540840178e-12,7.2086329236071816e-12
9,40,0.3,0.1,identity,16,1.8673444139458e-12,8.618668451799327e-13,1.3646056295628663e-12
9,40,0.3,0.1,identity,17,3.545051470886614e-13,1.634483352752062e-13,2.589767411819338e-13
9,40,0.3,0.1,identity,18,6.747867306059638e-14,3.117057563945985e-14,4.9324624350028115e-14
9,40,0.3,0.1,identity,19,1.2844283939178866e-14,5.935176039370903e-15,9.389729989274883e-15
9,40,0.3,0.1,identity,20,2.4677571816638155e-15,1.2157360676570628e-15,1.841746624660439e-15
10,40,0.3,0.1,identity,1,0.4684511203818441,0.39669362359718946,0.4325723719895168
10,40,0.3,0.1,identity,2,0.0893619314909904,0.031105799818588412,0.06023386565478941
10,40,0.3,0.1,identity,3,0.01045796518617301,0.004323403974165433,0.0073906845801692215
10,40,0.3,0.1,identity,4,0.0015344985130015462,0.0006483713942863577,0.001091434953643952
10,40,0.3,0.1,identity,5,0.00024782900989449844,0.00010539226194732403,0.00017661063592091123
10,40,0.3,0.1,identity,6,4.210652913193931e-05,1.7977758970200927e-05,3.004214405107012e-05
10,40,0.3,0.1,identity,7,7.374224693679076e-06,3.158554989858358e-06,5.266389841768717e-06
10,40,0.3,0.1,identity,8,1.3172537549586033e-06,5.657211364263087e-07,9.41487445692456e-07
10,40,0.3,0.1,identity,9,2.38548325247509e-07,1.0267656185245161e-07,1.706124435499803e-07
10,40,0.3,0.1,identity,10,4.3632544925311376e-08,1.881402602175414e-08,3.122328547353276e-08
10,40,0.3,0.1,identity,11,8.041024714746619e-09,3.4720629630227794e-09,5.756543838884699e-09
10,40,0.3,0.1,identity,12,1.4905908515939011e-09,6.442966616216127e-10,1.067443756607757e-09
10,40,0.3,0.1,identity,13,2.776170593151993e-10,1.2008543000673217e-10,1.9885124466096574e-10
10,40,0.3,0.1,identity,14,5.190514559730883e-11,2.2462212781699166e-11,3.7183679189504e-11
10,40,0.3,0.1,identity,15,9.736034600465842e-12,4.214418106281176e-12,6.975226353373509e-12
10,40,0.3,0.1,identity,16,1.8313025982065565e-12,7.92725015249723e-13,1.3120138067281396e-12
10,40,0.3,0.1,identity,17,3.4535936396168256e-13,1.494625915922003e-13,2.4741097777694145e-13
10,40,0.3,0.1,identity,18,6.522310524949544e-14,2.8318283258559697e-14,4.677069425402757e-14
10,40,0.3,0.1,identity,19,1.2396130529197955e-14,5.352283552833684e-15,8.87420704101582e-15
10,40,0.3,0.1,identity,20,2.4128141836719707e-15,1.1445187116541785e-15,1.7786664476630745e-15
11,40,0.3,0.1,identity,1,0.4756012565735373,0.4043320371315402,0.4399666468525387
11,40,0.3,0.1,identity,2,0.09550511841915037,0.03622795718692416,0.06586653780303726
11,40,0.3,0.1,identity,3,0.011113678108847209,0.00506224003399353,0.00808795907142037
11,40,0.3,0.1,identity,4,0.0016024171429126293,0.0007374828231732474,0.0011699499830429383
11,40,0.3,0.1,identity,5,0.00025367828156934197,0.00011546927591851459,0.00018457377874392828
11,40,0.3,0.1,identity,6,4.2288913861600725e-05,1.9017857148763145e-05,3.0653385505181935e-05
11,40,0.3,0.1,identity,7,7.28799177696607e-06,3.2440040746994615e-06,5.265997925832766e-06
11,40,0.3,0.1,identity,8,1.285462833242443e-06,5.674680880222579e-07,9.264654606323505e-07
11,40,0.3,0.1,identity,9,2.3060794872605273e-07,1.0114082715514572e-07,1.6587438794059922e-07
11,40,0.3,0.1,identity,10,4.190251058190889e-08,1.8285018144455722e-08,3.0093764363182306e-08
11,40,0.3,0.1,identity,11,7.689280164006905e-09,3.3424085242822423e-09,5.515844344144574e-09
11,40,0.3,0.1,identity,12,1.4219816001430344e-09,6.163129798746044e-10,1.0191472900088195e-09
11,40,0.3,0.1,identity,13,2.646005876585981e-10,1.144358873213708e-10,1.8951823748998446e-10
11,40,0.3,0.1,identity,14,4.948507382340059e-11,2.1368304582145323e-11,3.542668920277296e-11
11,40,0.3,0.1,identity,15,9.29310236225838e-12,4.008631758140293e-12,6.650867060199336e-12
11,40,0.3,0.1,identity,16,1.751376569905176e-12,7.549675745071382e-13,1.253172072206157e-12
11,40,0.3,0.1,identity,17,3.310894179809121e-13,1.4262460873633116e-13,2.368570133586216e-13
11,40,0.3,0.1,identity,18,6.27053212404999e-14,2.698320844488526e-14,4.484426484269258e-14
11,40,0.3,0.1,identity,19,1.1939027053839179e-14,5.231429816812279e-15,8.58522843532573e-15
11,40,0.3,0.1,identity,20,2.3013473076774167e-15,1.051765782400955e-15,1.6765565450391859e-15
12,40,0.3,0.1,identity,1,0.46679344985717663,0.39299208468605923,0.42989276727161796
12,40,0.3,0.1,identity,2,0.08664504794527234,0.03168149577995657,0.059163271862614455
12,40,0.3,0.1,identity,3,0.010400137666563065,0.004571946891303295,0.00748604227893318
12,40,0.3,0.1,identity,4,0.001548431772886981,0.0006960838891025004,0.0011222578309947407
12,40,0.3,0.1,identity,5,0.0002501242022876801,0.00011294424573810239,0.00018153422401289126
12,40,0.3,0.1,identity,6,4.212787206455264e-05,1.906491391622635e-05,3.0596392990389495e-05
12,40,0.3,0.1,identity,7,7.282851749780098e-06,3.3030870810728713e-06,5.292969415426485e-06
12,40,0.3,0.1,identity,8,1.282801180701126e-06,5.831245699688392e-07,9.329628753349826e-07
12,40,0.3,0.1,identity,9,2.292833598822435e-07,1.0444454591962238e-07,1.6686395290093295e-07
12,40,0.3,0.1,identity,10,4.1476193928691164e-08,1.8926315785408896e-08,3.020125485705003e-08
12,40,0.3,0.1,identity,11,7.57905775588244e-09,3.462848996623439e-09,5.520953376252939e-09
12,40,0.3,0.1,identity,12,1.3969619687162403e-09,6.387617116700857e-10,1.017861840193163e-09
12,40,0.3,0.1,identity,13,2.5941395512694847e-10,1.1865289723928397e-10,1.8903342618311622e-10
12,40,0.3,0.1,identity,14,4.8485978154076836e-11,2.2174314796939185e-11,3.533014647550801e-11
12,40,0.3,0.1,identity,15,9.113753362938168e-12,4.16603171641421e-12,6.639892539676188e-12
12,40,0.3,0.1,identity,16,1.7216712293786597e-12,7.864902595374842e-13,1.254080744458072e-12
12,40,0.3,0.1,identity,17,3.2667813282247283e-13,1.4897448620964084e-13,2.378263095160568e-13
12,40,0.3,0.1,identity,18,6.21962648755191e-14,2.8310428308066652e-14,4.5253346591792874e-14
12,40,0.3,0.1,identity,19,1.1872162150729687e-14,5.5173962865783e-15,8.694779218653993e-15
12,40,0.3,0.1,identity,20,2.3437050089602522e-15,1.154281445115999e-15,1.7489932270381257e-15
13,40,0.3,0.1,identity,1,0.49014439725274467,0.4044126293002653,0.447278513276505
13,40,0.3,0.1,identity,2,0.09081649377130901,0.03314827667813067,0.06198238522471984
13,40,0.3,0.1,identity,3,0.010116608070790123,0.004518059042636329,0.007317333556713226
13,40,0.3,0.1,identity,4,0.001445531666086323,0.0006608899180783518,0.0010532107920823374
13,40,0.3,0.1,identity,5,0.00022865175729396985,0.00010495160159747533,0.0001668016794457226
13,40,0.3,0.1,identity,6,3.8097808981724015e-05,1.7559544540478605e-05,2.782867676110131e-05
13,40,0.3,0.1,identity,7,6.5579855654080545e-06,3.037815395534344e-06,4.7979004804712e-06
13,40,0.3,0.1,identity,8,1.1548320012269408e-06,5.375386318129501e-07,8.461853165199454e-07
13,40,0.3,0.1,identity,9,2.0679277733987525e-07,9.664719545206107e-08,1.5171998639596817e-07
13,40,0.3,0.1,identity,10,3.750162029378885e-08,1.758160868092223e-08,2.754161448735554e-08
13,40,0.3,0.1,identity,11,6.867558220568832e-09,3.2268644521414684e-09,5.04721133635515e-09
13,40,0.3,0.1,identity,12,1.2672869968749166e-09,5.963429720275022e-10,9.318149844512094e-10
13,40,0.3,0.1,identity,13,2.3528422906516086e-10,1.1081350407615318e-10,1.73048866570657e-10
13,40,0.3,0.1,identity,14,4.389908385672535e-11,2.0683719613693615e-11,3.229140173520948e-11
13,40,0.3,0.1,identity,15,8.224064217982251e-12,3.8749638501622176e-12,6.049514034072234e-12
13,40,0.3,0.1,identity,16,1.5459595796359909e-12,7.282135843416747e-13,1.1370865819888328e-12
13,40,0.3,0.1,identity,17,2.914960008727375e-13,1.3722642659178153e-13,2.143612137322595e-13
13,40,0.3,0.1,identity,18,5.514078733552453e-14,2.5970834893887357e-14,4.0555811114705945e-14
13,40,0.3,0.1,identity,19,1.0426668164323041e-14,4.932867574834338e-15,7.67976786957869e-15
