gap,rep,method,error
1.2,24,2DLDA,0.44999999999999996
1.2,25,L-2DLDA,0.3375
1.2,25,2DLDA,0.490625
1.2,26,L-2DLDA,0.475
1.2,26,2DLDA,0.459375
1.2,27,L-2DLDA,0.534375
1.2,27,2DLDA,0.484375
1.2,28,L-2DLDA,0.4375
1.2,28,2DLDA,0.48750000000000004
1.2,29,L-2DLDA,0.490625
1.2,29,2DLDA,0.49687499999999996
1.2,30,L-2DLDA,0.50625
1.2,30,2DLDA,0.478125
1.2,31,L-2DLDA,0.44375
1.2,31,2DLDA,0.4125
1.2,32,L-2DLDA,0.4375
1.2,32,2DLDA,0.5125
1.2,33,L-2DLDA,0.5125
1.2,33,2DLDA,0.459375
1.2,34,L-2DLDA,0.51875
1.2,34,2DLDA,0.53125
1.2,35,L-2DLDA,0.540625
1.2,35,2DLDA,0.50625
1.2,36,L-2DLDA,0.49687499999999996
1.2,36,2DLDA,0.46562499999999996
1.2,37,L-2DLDA,0.515625
1.2,37,2DLDA,0.49687499999999996
1.2,38,L-2DLDA,0.5
1.2,38,2DLDA,0.48124999999999996
1.2,39,L-2DLDA,0.54375
1.2,39,2DLDA,0.509375
1.2,40,L-2DLDA,0.50625
1.2,40,2DLDA,0.51875
1.2,41,L-2DLDA,0.553125
1.2,41,2DLDA,0.5
1.2,42,L-2DLDA,0.475
1.2,42,2DLDA,0.484375
1.2,43,L-2DLDA,0.596875
1.2,43,2DLDA,0.50625
1.2,44,L-2DLDA,0.50625
1.2,44,2DLDA,0.521875
1.2,45,L-2DLDA,0.45625000000000004
1.2,45,2DLDA,0.490625
1.2,46,L-2DLDA,0.4375
1.2,46,2DLDA,0.478125
1.2,47,L-2DLDA,0.47187500000000004
1.2,47,2DLDA,0.490625
1.2,48,L-2DLDA,0.478125
1.2,48,2DLDA,0.51875
1.2,49,L-2DLDA,0.478125
1.2,49,2DLDA,0.54375
1.6,0,L-2DLDA,0.29374999999999996
1.6,0,2DLDA,0.490625
1.6,1,L-2DLDA,0.490625
1.6,1,2DLDA,0.521875
1.6,2,L-2DLDA,0.50625
1.6,2,2DLDA,0.475
1.6,3,L-2DLDA,0.421875
1.6,3,2DLDA,0.48750000000000004
1.6,4,L-2DLDA,0.47187500000000004
1.6,4,2DLDA,0.48124999999999996
1.6,5,L-2DLDA,0.45625000000000004
1.6,5,2DLDA,0.45625000000000004
1.6,6,L-2DLDA,0.40312499999999996
1.6,6,2DLDA,0.484375
1.6,7,L-2DLDA,0.44999999999999996
1.6,7,2DLDA,0.478125
1.6,8,L-2DLDA,0.446875
1.6,8,2DLDA,0.41874999999999996
1.6,9,L-2DLDA,0.38125
1.6,9,2DLDA,0.48750000000000004
1.6,10,L-2DLDA,0.515625
1.6,10,2DLDA,0.534375
1.6,11,L-2DLDA,0.5
1.6,11,2DLDA,0.44375
1.6,12,L-2DLDA,0.54375
1.6,12,2DLDA,0.4625
1.6,13,L-2DLDA,0.296875
1.6,13,2DLDA,0.5375
1.6,14,L-2DLDA,0.41874999999999996
1.6,14,2DLDA,0.50625
1.6,15,L-2DLDA,0.484375
1.6,15,2DLDA,0.478125
1.6,16,L-2DLDA,0.35
1.6,16,2DLDA,0.525
1.6,17,L-2DLDA,0.34375
1.6,17,2DLDA,0.478125
1.6,18,L-2DLDA,0.35
1.6,18,2DLDA,0.51875
1.6,19,L-2DLDA,0.42500000000000004
1.6,19,2DLDA,0.534375
1.6,20,L-2DLDA,0.4625
1.6,20,2DLDA,0.540625
1.6,21,L-2DLDA,0.3375
1.6,21,2DLDA,0.4375
1.6,22,L-2DLDA,0.490625
1.6,22,2DLDA,0.521875
1.6,23,L-2DLDA,0.478125
1.6,23,2DLDA,0.484375
1.6,24,L-2DLDA,0.44375
1.6,24,2DLDA,0.475
1.6,25,L-2DLDA,0.5375
1.6,25,2DLDA,0.46562499999999996
1.6,26,L-2DLDA,0.478125
1.6,26,2DLDA,0.521875
1.6,27,L-2DLDA,0.55
1.6,27,2DLDA,0.50625
1.6,28,L-2DLDA,0.296875
1.6,28,2DLDA,0.521875
1.6,29,L-2DLDA,0.540625
1.6,29,2DLDA,0.490625
1.6,30,L-2DLDA,0.35
1.6,30,2DLDA,0.503125
1.6,31,L-2DLDA,0.47187500000000004
1.6,31,2DLDA,0.54375
1.6,32,L-2DLDA,0.390625
1.6,32,2DLDA,0.49375
1.6,33,L-2DLDA,0.4625
1.6,33,2DLDA,0.528125
1.6,34,L-2DLDA,0.54375
1.6,34,2DLDA,0.51875
1.6,35,L-2DLDA,0.5375
1.6,35,2DLDA,0.49375
1.6,36,L-2DLDA,0.34687500000000004
1.6,36,2DLDA,0.48124999999999996
1.6,37,L-2DLDA,0.40625
1.6,37,2DLDA,0.509375
1.6,38,L-2DLDA,0.553125
1.6,38,2DLDA,0.515625
1.6,39,L-2DLDA,0.46562499999999996
1.6,39,2DLDA,0.490625
1.6,40,L-2DLDA,0.44062500000000004
1.6,40,2DLDA,0.4625
1.6,41,L-2DLDA,0.509375
1.6,41,2DLDA,0.490625
1.6,42,L-2DLDA,0.5
1.6,42,2DLDA,0.484375
1.6,43,L-2DLDA,0.46562499999999996
1.6,43,2DLDA,0.48124999999999996
1.6,44,L-2DLDA,0.49375
1.6,44,2DLDA,0.484375
1.6,45,L-2DLDA,0.36875
1.6,45,2DLDA,0.534375
1.6,46,L-2DLDA,0.44375
1.6,46,2DLDA,0.484375
1.6,47,L-2DLDA,0.46875
1.6,47,2DLDA,0.490625
1.6,48,L-2DLDA,0.5625
1.6,48,2DLDA,0.453125
1.6,49,L-2DLDA,0.521875
1.6,49,2DLDA,0.46875
2.0,0,L-2DLDA,0.296875
2.0,0,2DLDA,0.484375
2.0,1,L-2DLDA,0.24687499999999996
2.0,1,2DLDA,0.50625
2.0,2,L-2DLDA,0.32499999999999996
2.0,2,2DLDA,0.534375
2.0,3,L-2DLDA,0.35
2.0,3,2DLDA,0.515625
2.0,4,L-2DLDA,0.21562499999999996
2.0,4,2DLDA,0.4625
2.0,5,L-2DLDA,0.475
2.0,5,2DLDA,0.534375
2.0,6,L-2DLDA,0.4625
2.0,6,2DLDA,0.51875
2.0,7,L-2DLDA,0.365625
2.0,7,2DLDA,0.44375
2.0,8,L-2DLDA,0.509375
2.0,8,2DLDA,0.490625
2.0,9,L-2DLDA,0.459375
2.0,9,2DLDA,0.48124999999999996
2.0,10,L-2DLDA,0.615625
2.0,10,2DLDA,0.49687499999999996
2.0,11,L-2DLDA,0.33125000000000004
2.0,11,2DLDA,0.5
2.0,12,L-2DLDA,0.303125
2.0,12,2DLDA,0.5125
